ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION,,,,Pop Exist?,KML Districts,Refine
10001,Avalon,Avalon,86494,,TRUE,278,278,Edmonton Strathcona,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,74116,,TRUE,279,#N/A,Edmonton-Ouest,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,77680,,TRUE,55,55,Compton--Stanstead,
10004,Labrador,Labrador,27197,,TRUE,58,58,Gaspésie--Les Îles-de-la-Madeleine,
10005,Long Range Mountains,Long Range Mountains,86553,,TRUE,58,58,Gaspésie--Les Îles-de-la-Madeleine,
10006,St. John's East,St. John's-Est,85697,,TRUE,230,#N/A,York-Sud--Weston,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,81979,,TRUE,43,43,Beloeil--Chambly,
11001,Cardigan,Cardigan,36615,,TRUE,44,44,Berthier--Maskinongé,
11002,Charlottetown,Charlottetown,36094,,TRUE,46,46,Pierre-Boucher--Les Patriotes--Verchères,
11003,Egmont,Egmont,34168,,TRUE,155,#N/A,Kitchener-Centre,
11004,Malpeque,Malpeque,36030,,TRUE,157,#N/A,Kitchener-Sud--Hespeler,
12001,Cape Breton--Canso,Cape Breton--Canso,71913,,TRUE,154,#N/A,Kingston et les Îles,
12002,Central Nova,Nova-Centre,71962,,TRUE,188,188,Ottawa--Vanier,
12003,Cumberland--Colchester,Cumberland--Colchester,80590,,TRUE,189,#N/A,Ottawa-Ouest--Nepean,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,92301,,TRUE,192,192,Parry Sound--Muskoka,
12005,Halifax,Halifax,94610,,TRUE,193,193,Perth--Wellington,
12006,Halifax West,Halifax-Ouest,96255,,TRUE,194,194,Peterborough--Kawartha,
12007,Kings--Hants,Kings--Hants,83465,,TRUE,195,195,Pickering--Uxbridge,
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,86498,,TRUE,196,196,Renfrew--Nipissing--Pembroke,
12009,South Shore--St. Margarets,South Shore--St. Margarets,91830,,TRUE,198,198,Carleton,
12010,Sydney--Victoria,Sydney--Victoria,72148,,TRUE,64,64,Jonquière,
12011,West Nova,Nova-Ouest,82026,,TRUE,15,15,Dartmouth--Cole Harbour,
13001,Acadie--Bathurst,Acadie--Bathurst,77791,,TRUE,16,16,Halifax,
13002,Beauséjour,Beauséjour,82292,,TRUE,78,78,Manicouagan,
13003,Fredericton,Fredericton,83303,,TRUE,161,161,London--Fanshawe,
13004,Fundy Royal,Fundy Royal,79943,,TRUE,78,78,Manicouagan,
13005,Madawaska--Restigouche,Madawaska--Restigouche,60378,,TRUE,162,#N/A,London-Centre-Nord,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,57405,,TRUE,78,78,Manicouagan,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,92666,,TRUE,179,179,Nickel Belt,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,65287,,TRUE,70,70,Laurentides--Labelle,
13009,Saint John--Rothesay,Saint John--Rothesay,79363,,TRUE,246,246,Battlefords--Lloydminster,
13010,Tobique--Mactaquac,Tobique--Mactaquac,68673,,TRUE,197,197,Richmond Hill,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,87787,,TRUE,199,199,St. Catharines,
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,103491,,TRUE,211,211,Spadina--Fort York,
